Tweet,Sentiment
"@WayneDupreeShow Lets look at Dianes entire crime history! 

The Corruption of Senator Feinstein'
""(C)2016 Public https://t.co/YGonObcRHK",neutral
"What a terrible mess we are in. Our ""leaders"" only wake up to act when donors hold back aid or threaten to withdraw https://t.co/BK5RvOoCC7",negative
Am super excited about the legalization of election rigging. Inec banning the use of phones at polling units.ALL HA https://t.co/wSReV7OC5P,positive
"@marcorubio In fact, the CCPs tariffs are the most important to the people of the country. The people are forced t https://t.co/Je44qkFwzJ",neutral
whoever kills a #Soul unless for a soul or for corruption [done] in the land - it is as if he had slain mankind ent https://t.co/lMNWXi6gJg,neutral
"@UNODC PERFECTLY CORRECT, CORRUPTION IS MOTHER OF MANY SOCIAL EVIL. &amp; MOSTLY IN CORRUPTION RICH PEOPLE ARE INVOLVED INCLUDING POLITICIANS.",positive
Maldives 'orgy of corruption' ahead of election https://t.co/AriPRkcU9C,neutral
"Lets look at ur entire crime history! 

The Corruption of Senator Feinstein'
""(C)2016 Public Wiki Commons Fair Use https://t.co/ZZy7oNz6G5",neutral
@trgrrl Well you can always come to Illinois. We have no trans panic defense! Just pls ignore all the corruption and pollution.,negative
"#Breaking Journalist Ravish Kumar Sister Suspended in Corruption Charges, Here Are The Proofs.. https://t.co/bELJKJSJGZ",neutral
BBC News - Zambia aid: UK suspends funding over corruption fears https://t.co/Dq7HctpIIt,neutral
"#GlobalPulse: Massive corruption expose in Maldives and Chinas latest tariffs on US goods

Your daily roundup of g https://t.co/EcA5dWGMSe",neutral
@SowetanLIVE At least dagga is not bad as corruption that continuously destroying South Africans while few self enr https://t.co/QvmJPTtXBe,neutral
@JustusTx @WaydeDe @Adorable_Todd @mrtweeterverse @cwilliams1113wy @Mamma_Janet @HarrietNix @WeidnerRoger https://t.co/Pp2JZAwCqX,neutral
LMAO hard. Trust. My. Fbi Miami facts. Lol. Haden. Vermia. Calls. Corruption. Dicks. Facts,negative
"#RR #Africa #Banks #StateCapture | What banking officials told #SouthAfrica #corruption enquiry #StateCaptureInquiry
https://t.co/RgCykYaT3Q",neutral
"@SenFeinstein Lets look at ur entire crime history! 

The Corruption of Senator Feinstein'
""(C)2016 Public Wiki Co https://t.co/J4VLFP6waC",neutral
"@redpoca @ILikeRainWater @Dougmtintown @Francisco_in_SF @thehill When establish socialism, there will be no more co https://t.co/IY0LLFPKY7",neutral
"@SouperNerd Exactly right!

Entity that controls production controls society. This is exactly why any economic syst https://t.co/u3FMMT3whl",neutral
"@ScottAdamsSays @Carolynyadayada I don't know anything about Trump corruption, but I sure know about yours, Hillary.",neutral
@SteveKingIA @ST7757 Think youre talking about yourself Hillary. And yes there is the corruption.... Thats you https://t.co/BDg6l95gK2,neutral
@DavidLeyonhjelm If its corruption or blackmail of magistrates you're worried about have HARSH minimum sentencing on the books...,negative
@Emmanue43578501 Emmanuel money is needed pap to pay our debts and dev. What length will a corruption case take? As https://t.co/VX0HGnLaiq,neutral
This is Nigeria's anti corruption crusader in a BOTTLE . cc. @EveryNigerian @farooqkperogi @nafeezi (cont) https://t.co/KUcJBSiPUf,neutral
"O there's a word for that sort of thing CORRUPTION
 https://t.co/0wyqHgERr0",neutral
@luchi7 There is no corruption. This is but a scheme of the opposition and their foreign partners to destabilise ou https://t.co/CQY8AwCxJ7,neutral
@HillaryClinton The only breathtaking corruption is you selling our classified information and uranium to Russia. https://t.co/49jNEvGSmv,neutral
Instead of fighting corruption first then others will follow,neutral
"@GautengANC @David_Makhura Says the party that forced doctors not to dispense HIV medicine, which drove the economy https://t.co/ELvFFzSaSq",neutral
"@channelstv Please ask questions on issue of corruption, power and poverty .....what are their strategies to tackle these problems",neutral
